[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外, [비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外 경제계 소식 알아보는 비즈& 시간입니다. 오늘은 어떤 소식들이 있는지 살펴..., https://www.yonhapnewstv.co.kr/news/MYH20221025012900038 
['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外', '한화생명 청약자동화 솔루션 특허 취득 - 서울경제', '한화생명 청약자동화 솔루션 특허…GA설계사 업무간소화', '한화생명 ‘보험 신계약 자동화’ 특허 취득', '자동화로 네트워크 전체 스위치 업그레이드를 효율화하는 방법', "'창원국제용접 및 절단자동화전' 328억 수출 상담 달성", '코닉오토메이션 LG화학에 양극재 검사 솔루션 공급', '디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”', '삼광의료재단 대전에 중부센터 개원…첨단 자동화 검사 시스템 구축', '한화생명 청약자동화 솔루션 특허 취득…"보험 신계약 5분이면 끝"', "한화생명 보험신계약 로봇기술로 자동화...'청약자동화 솔루션' 특허", '한화생명 보험 계약 자동화 솔루션 특허 취득'], ['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外 경제계 소식 알아보는 비즈& 시간입니다. 오늘은 어떤 소식들이 있는지 살펴...', '자동화는 반복적인 네트워킹 작업에서 큰 차이를 만들어낼 수 있다. 파이썬 스크립트와 오픈소스 툴을 사용해 엔터프라이즈 스위치 업그레이드를...', '(창원=국제뉴스) 김선환 기자 = 용접 절단 최대 수요지인 창원에서 개최된 34년 역사의 용접·절단 기술 전문 전시회인 창원국제용접 및 절단자동화...', '코닉오토메이션이 LG화학과 양극재 검사 자동화 시스템 공급 계약을 체결했다고 24일 공시했다. 에코프로그룹 포스코케미칼에 이어 LG화학에 검사...', 'IPO 간담회 개최. 디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”. “최근 3년간 매출과 신규 수주가 늘었고 2020년에는 흑자전환에 성공했습니다.', '삼광의료재단(이사장 황태국)은 24일 최첨단 자동화 검사 시스템을 도입한 중부센터 개원 기념식을 진행했다. 삼광의료재단 중부센터는 대전에...', '한화생명이 보험 신계약 과정을 로봇 기술로 자동화하며 법인대리점(GA) 시장에서의 영업 경쟁력 강화에 나섰다.25일 한화생명은 보험설계 및 청약...', "[엔지경제신문=나유라 기자] 한화생명은 보험설계 및 청약 업무 프로세스 자동화 기술인 '청약자동화 솔루션'에 대한 특허를 특허청으로부터 취득...", '한화생명은 25일 보험설계와 계약 업무 프로세스를 자동화하는 기술인 "청약자동화 솔루션"이 특허청으로부터 "BM(Business Method)특허&quo...'], ['https://www.yonhapnewstv.co.kr/news/MYH20221025012900038', 'https://www.sedaily.com/NewsView/26CHK5V7NA', 'https://www.yna.co.kr/view/AKR20221025034300002', 'https://m.khan.co.kr/economy/finance/article/202210251130001', 'https://www.itworld.co.kr/news/260974', 'https://www.gukjenews.com/news/articleView.html?idxno=2577997', 'https://www.etnews.com/20221024000118', 'https://www.hankyung.com/it/article/202210251982i', 'https://sports.chosun.com/news/news.htm?id=202210260100169210010824&ServiceDate=20221025', 'http://www.thebigdata.co.kr/view.php?ud=202210251014097792d2db879fd_23', 'https://www.ekn.kr/web/view.php?key=20221025010003873', 'https://news.mt.co.kr/mtview.php?no=2022102510404686281'] 
['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外', '한화생명 청약자동화 솔루션 특허 취득 - 서울경제', '한화생명 청약자동화 솔루션 특허…GA설계사 업무간소화', '한화생명 ‘보험 신계약 자동화’ 특허 취득', '자동화로 네트워크 전체 스위치 업그레이드를 효율화하는 방법', "'창원국제용접 및 절단자동화전' 328억 수출 상담 달성", '코닉오토메이션 LG화학에 양극재 검사 솔루션 공급', '디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”', '삼광의료재단 대전에 중부센터 개원…첨단 자동화 검사 시스템 구축', '한화생명 청약자동화 솔루션 특허 취득…"보험 신계약 5분이면 끝"', "한화생명 보험신계약 로봇기술로 자동화...'청약자동화 솔루션' 특허", '한화생명 보험 계약 자동화 솔루션 특허 취득'], ['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外 경제계 소식 알아보는 비즈& 시간입니다. 오늘은 어떤 소식들이 있는지 살펴...', '자동화는 반복적인 네트워킹 작업에서 큰 차이를 만들어낼 수 있다. 파이썬 스크립트와 오픈소스 툴을 사용해 엔터프라이즈 스위치 업그레이드를...', '(창원=국제뉴스) 김선환 기자 = 용접 절단 최대 수요지인 창원에서 개최된 34년 역사의 용접·절단 기술 전문 전시회인 창원국제용접 및 절단자동화...', '코닉오토메이션이 LG화학과 양극재 검사 자동화 시스템 공급 계약을 체결했다고 24일 공시했다. 에코프로그룹 포스코케미칼에 이어 LG화학에 검사...', 'IPO 간담회 개최. 디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”. “최근 3년간 매출과 신규 수주가 늘었고 2020년에는 흑자전환에 성공했습니다.', '삼광의료재단(이사장 황태국)은 24일 최첨단 자동화 검사 시스템을 도입한 중부센터 개원 기념식을 진행했다. 삼광의료재단 중부센터는 대전에...', '한화생명이 보험 신계약 과정을 로봇 기술로 자동화하며 법인대리점(GA) 시장에서의 영업 경쟁력 강화에 나섰다.25일 한화생명은 보험설계 및 청약...', "[엔지경제신문=나유라 기자] 한화생명은 보험설계 및 청약 업무 프로세스 자동화 기술인 '청약자동화 솔루션'에 대한 특허를 특허청으로부터 취득...", '한화생명은 25일 보험설계와 계약 업무 프로세스를 자동화하는 기술인 "청약자동화 솔루션"이 특허청으로부터 "BM(Business Method)특허&quo...'], ['https://www.yonhapnewstv.co.kr/news/MYH20221025012900038', 'https://www.sedaily.com/NewsView/26CHK5V7NA', 'https://www.yna.co.kr/view/AKR20221025034300002', 'https://m.khan.co.kr/economy/finance/article/202210251130001', 'https://www.itworld.co.kr/news/260974', 'https://www.gukjenews.com/news/articleView.html?idxno=2577997', 'https://www.etnews.com/20221024000118', 'https://www.hankyung.com/it/article/202210251982i', 'https://sports.chosun.com/news/news.htm?id=202210260100169210010824&ServiceDate=20221025', 'http://www.thebigdata.co.kr/view.php?ud=202210251014097792d2db879fd_23', 'https://www.ekn.kr/web/view.php?key=20221025010003873', 'https://news.mt.co.kr/mtview.php?no=2022102510404686281'] 
['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外', '한화생명 청약자동화 솔루션 특허 취득 - 서울경제', '한화생명 청약자동화 솔루션 특허…GA설계사 업무간소화', '한화생명 ‘보험 신계약 자동화’ 특허 취득', '자동화로 네트워크 전체 스위치 업그레이드를 효율화하는 방법', "'창원국제용접 및 절단자동화전' 328억 수출 상담 달성", '코닉오토메이션 LG화학에 양극재 검사 솔루션 공급', '디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”', '삼광의료재단 대전에 중부센터 개원…첨단 자동화 검사 시스템 구축', '한화생명 청약자동화 솔루션 특허 취득…"보험 신계약 5분이면 끝"', "한화생명 보험신계약 로봇기술로 자동화...'청약자동화 솔루션' 특허", '한화생명 보험 계약 자동화 솔루션 특허 취득'], ['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外 경제계 소식 알아보는 비즈& 시간입니다. 오늘은 어떤 소식들이 있는지 살펴...', '자동화는 반복적인 네트워킹 작업에서 큰 차이를 만들어낼 수 있다. 파이썬 스크립트와 오픈소스 툴을 사용해 엔터프라이즈 스위치 업그레이드를...', '(창원=국제뉴스) 김선환 기자 = 용접 절단 최대 수요지인 창원에서 개최된 34년 역사의 용접·절단 기술 전문 전시회인 창원국제용접 및 절단자동화...', '코닉오토메이션이 LG화학과 양극재 검사 자동화 시스템 공급 계약을 체결했다고 24일 공시했다. 에코프로그룹 포스코케미칼에 이어 LG화학에 검사...', 'IPO 간담회 개최. 디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”. “최근 3년간 매출과 신규 수주가 늘었고 2020년에는 흑자전환에 성공했습니다.', '삼광의료재단(이사장 황태국)은 24일 최첨단 자동화 검사 시스템을 도입한 중부센터 개원 기념식을 진행했다. 삼광의료재단 중부센터는 대전에...', '한화생명이 보험 신계약 과정을 로봇 기술로 자동화하며 법인대리점(GA) 시장에서의 영업 경쟁력 강화에 나섰다.25일 한화생명은 보험설계 및 청약...', "[엔지경제신문=나유라 기자] 한화생명은 보험설계 및 청약 업무 프로세스 자동화 기술인 '청약자동화 솔루션'에 대한 특허를 특허청으로부터 취득...", '한화생명은 25일 보험설계와 계약 업무 프로세스를 자동화하는 기술인 "청약자동화 솔루션"이 특허청으로부터 "BM(Business Method)특허&quo...'], ['https://www.yonhapnewstv.co.kr/news/MYH20221025012900038', 'https://www.sedaily.com/NewsView/26CHK5V7NA', 'https://www.yna.co.kr/view/AKR20221025034300002', 'https://m.khan.co.kr/economy/finance/article/202210251130001', 'https://www.itworld.co.kr/news/260974', 'https://www.gukjenews.com/news/articleView.html?idxno=2577997', 'https://www.etnews.com/20221024000118', 'https://www.hankyung.com/it/article/202210251982i', 'https://sports.chosun.com/news/news.htm?id=202210260100169210010824&ServiceDate=20221025', 'http://www.thebigdata.co.kr/view.php?ud=202210251014097792d2db879fd_23', 'https://www.ekn.kr/web/view.php?key=20221025010003873', 'https://news.mt.co.kr/mtview.php?no=2022102510404686281'] 
['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外', '한화생명 청약자동화 솔루션 특허 취득 - 서울경제', '한화생명 청약자동화 솔루션 특허…GA설계사 업무간소화', '한화생명 ‘보험 신계약 자동화’ 특허 취득', '자동화로 네트워크 전체 스위치 업그레이드를 효율화하는 방법', "'창원국제용접 및 절단자동화전' 328억 수출 상담 달성", '코닉오토메이션 LG화학에 양극재 검사 솔루션 공급', '디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”', '삼광의료재단 대전에 중부센터 개원…첨단 자동화 검사 시스템 구축', '한화생명 청약자동화 솔루션 특허 취득…"보험 신계약 5분이면 끝"', "한화생명 보험신계약 로봇기술로 자동화...'청약자동화 솔루션' 특허", '한화생명 보험 계약 자동화 솔루션 특허 취득'], ['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外 경제계 소식 알아보는 비즈& 시간입니다. 오늘은 어떤 소식들이 있는지 살펴...', '자동화는 반복적인 네트워킹 작업에서 큰 차이를 만들어낼 수 있다. 파이썬 스크립트와 오픈소스 툴을 사용해 엔터프라이즈 스위치 업그레이드를...', '(창원=국제뉴스) 김선환 기자 = 용접 절단 최대 수요지인 창원에서 개최된 34년 역사의 용접·절단 기술 전문 전시회인 창원국제용접 및 절단자동화...', '코닉오토메이션이 LG화학과 양극재 검사 자동화 시스템 공급 계약을 체결했다고 24일 공시했다. 에코프로그룹 포스코케미칼에 이어 LG화학에 검사...', 'IPO 간담회 개최. 디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”. “최근 3년간 매출과 신규 수주가 늘었고 2020년에는 흑자전환에 성공했습니다.', '삼광의료재단(이사장 황태국)은 24일 최첨단 자동화 검사 시스템을 도입한 중부센터 개원 기념식을 진행했다. 삼광의료재단 중부센터는 대전에...', '한화생명이 보험 신계약 과정을 로봇 기술로 자동화하며 법인대리점(GA) 시장에서의 영업 경쟁력 강화에 나섰다.25일 한화생명은 보험설계 및 청약...', "[엔지경제신문=나유라 기자] 한화생명은 보험설계 및 청약 업무 프로세스 자동화 기술인 '청약자동화 솔루션'에 대한 특허를 특허청으로부터 취득...", '한화생명은 25일 보험설계와 계약 업무 프로세스를 자동화하는 기술인 "청약자동화 솔루션"이 특허청으로부터 "BM(Business Method)특허&quo...'], ['https://www.yonhapnewstv.co.kr/news/MYH20221025012900038', 'https://www.sedaily.com/NewsView/26CHK5V7NA', 'https://www.yna.co.kr/view/AKR20221025034300002', 'https://m.khan.co.kr/economy/finance/article/202210251130001', 'https://www.itworld.co.kr/news/260974', 'https://www.gukjenews.com/news/articleView.html?idxno=2577997', 'https://www.etnews.com/20221024000118', 'https://www.hankyung.com/it/article/202210251982i', 'https://sports.chosun.com/news/news.htm?id=202210260100169210010824&ServiceDate=20221025', 'http://www.thebigdata.co.kr/view.php?ud=202210251014097792d2db879fd_23', 'https://www.ekn.kr/web/view.php?key=20221025010003873', 'https://news.mt.co.kr/mtview.php?no=2022102510404686281'] 
['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外', '한화생명 청약자동화 솔루션 특허 취득 - 서울경제', '한화생명 청약자동화 솔루션 특허…GA설계사 업무간소화', '한화생명 ‘보험 신계약 자동화’ 특허 취득', '자동화로 네트워크 전체 스위치 업그레이드를 효율화하는 방법', "'창원국제용접 및 절단자동화전' 328억 수출 상담 달성", '코닉오토메이션 LG화학에 양극재 검사 솔루션 공급', '디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”', '삼광의료재단 대전에 중부센터 개원…첨단 자동화 검사 시스템 구축', '한화생명 청약자동화 솔루션 특허 취득…"보험 신계약 5분이면 끝"', "한화생명 보험신계약 로봇기술로 자동화...'청약자동화 솔루션' 특허", '한화생명 보험 계약 자동화 솔루션 특허 취득'], ['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外 경제계 소식 알아보는 비즈& 시간입니다. 오늘은 어떤 소식들이 있는지 살펴...', '자동화는 반복적인 네트워킹 작업에서 큰 차이를 만들어낼 수 있다. 파이썬 스크립트와 오픈소스 툴을 사용해 엔터프라이즈 스위치 업그레이드를...', '(창원=국제뉴스) 김선환 기자 = 용접 절단 최대 수요지인 창원에서 개최된 34년 역사의 용접·절단 기술 전문 전시회인 창원국제용접 및 절단자동화...', '코닉오토메이션이 LG화학과 양극재 검사 자동화 시스템 공급 계약을 체결했다고 24일 공시했다. 에코프로그룹 포스코케미칼에 이어 LG화학에 검사...', 'IPO 간담회 개최. 디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”. “최근 3년간 매출과 신규 수주가 늘었고 2020년에는 흑자전환에 성공했습니다.', '삼광의료재단(이사장 황태국)은 24일 최첨단 자동화 검사 시스템을 도입한 중부센터 개원 기념식을 진행했다. 삼광의료재단 중부센터는 대전에...', '한화생명이 보험 신계약 과정을 로봇 기술로 자동화하며 법인대리점(GA) 시장에서의 영업 경쟁력 강화에 나섰다.25일 한화생명은 보험설계 및 청약...', "[엔지경제신문=나유라 기자] 한화생명은 보험설계 및 청약 업무 프로세스 자동화 기술인 '청약자동화 솔루션'에 대한 특허를 특허청으로부터 취득...", '한화생명은 25일 보험설계와 계약 업무 프로세스를 자동화하는 기술인 "청약자동화 솔루션"이 특허청으로부터 "BM(Business Method)특허&quo...'], ['https://www.yonhapnewstv.co.kr/news/MYH20221025012900038', 'https://www.sedaily.com/NewsView/26CHK5V7NA', 'https://www.yna.co.kr/view/AKR20221025034300002', 'https://m.khan.co.kr/economy/finance/article/202210251130001', 'https://www.itworld.co.kr/news/260974', 'https://www.gukjenews.com/news/articleView.html?idxno=2577997', 'https://www.etnews.com/20221024000118', 'https://www.hankyung.com/it/article/202210251982i', 'https://sports.chosun.com/news/news.htm?id=202210260100169210010824&ServiceDate=20221025', 'http://www.thebigdata.co.kr/view.php?ud=202210251014097792d2db879fd_23', 'https://www.ekn.kr/web/view.php?key=20221025010003873', 'https://news.mt.co.kr/mtview.php?no=2022102510404686281'] 
['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外', '한화생명 청약자동화 솔루션 특허 취득 - 서울경제', '한화생명 청약자동화 솔루션 특허…GA설계사 업무간소화', '한화생명 ‘보험 신계약 자동화’ 특허 취득', '자동화로 네트워크 전체 스위치 업그레이드를 효율화하는 방법', "'창원국제용접 및 절단자동화전' 328억 수출 상담 달성", '코닉오토메이션 LG화학에 양극재 검사 솔루션 공급', '디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”', '삼광의료재단 대전에 중부센터 개원…첨단 자동화 검사 시스템 구축', '한화생명 청약자동화 솔루션 특허 취득…"보험 신계약 5분이면 끝"', "한화생명 보험신계약 로봇기술로 자동화...'청약자동화 솔루션' 특허", '한화생명 보험 계약 자동화 솔루션 특허 취득'], ['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外 경제계 소식 알아보는 비즈& 시간입니다. 오늘은 어떤 소식들이 있는지 살펴...', '자동화는 반복적인 네트워킹 작업에서 큰 차이를 만들어낼 수 있다. 파이썬 스크립트와 오픈소스 툴을 사용해 엔터프라이즈 스위치 업그레이드를...', '(창원=국제뉴스) 김선환 기자 = 용접 절단 최대 수요지인 창원에서 개최된 34년 역사의 용접·절단 기술 전문 전시회인 창원국제용접 및 절단자동화...', '코닉오토메이션이 LG화학과 양극재 검사 자동화 시스템 공급 계약을 체결했다고 24일 공시했다. 에코프로그룹 포스코케미칼에 이어 LG화학에 검사...', 'IPO 간담회 개최. 디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”. “최근 3년간 매출과 신규 수주가 늘었고 2020년에는 흑자전환에 성공했습니다.', '삼광의료재단(이사장 황태국)은 24일 최첨단 자동화 검사 시스템을 도입한 중부센터 개원 기념식을 진행했다. 삼광의료재단 중부센터는 대전에...', '한화생명이 보험 신계약 과정을 로봇 기술로 자동화하며 법인대리점(GA) 시장에서의 영업 경쟁력 강화에 나섰다.25일 한화생명은 보험설계 및 청약...', "[엔지경제신문=나유라 기자] 한화생명은 보험설계 및 청약 업무 프로세스 자동화 기술인 '청약자동화 솔루션'에 대한 특허를 특허청으로부터 취득...", '한화생명은 25일 보험설계와 계약 업무 프로세스를 자동화하는 기술인 "청약자동화 솔루션"이 특허청으로부터 "BM(Business Method)특허&quo...'], ['https://www.yonhapnewstv.co.kr/news/MYH20221025012900038', 'https://www.sedaily.com/NewsView/26CHK5V7NA', 'https://www.yna.co.kr/view/AKR20221025034300002', 'https://m.khan.co.kr/economy/finance/article/202210251130001', 'https://www.itworld.co.kr/news/260974', 'https://www.gukjenews.com/news/articleView.html?idxno=2577997', 'https://www.etnews.com/20221024000118', 'https://www.hankyung.com/it/article/202210251982i', 'https://sports.chosun.com/news/news.htm?id=202210260100169210010824&ServiceDate=20221025', 'http://www.thebigdata.co.kr/view.php?ud=202210251014097792d2db879fd_23', 'https://www.ekn.kr/web/view.php?key=20221025010003873', 'https://news.mt.co.kr/mtview.php?no=2022102510404686281'] 
['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外', '한화생명 청약자동화 솔루션 특허 취득 - 서울경제', '한화생명 청약자동화 솔루션 특허…GA설계사 업무간소화', '한화생명 ‘보험 신계약 자동화’ 특허 취득', '자동화로 네트워크 전체 스위치 업그레이드를 효율화하는 방법', "'창원국제용접 및 절단자동화전' 328억 수출 상담 달성", '코닉오토메이션 LG화학에 양극재 검사 솔루션 공급', '디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”', '삼광의료재단 대전에 중부센터 개원…첨단 자동화 검사 시스템 구축', '한화생명 청약자동화 솔루션 특허 취득…"보험 신계약 5분이면 끝"', "한화생명 보험신계약 로봇기술로 자동화...'청약자동화 솔루션' 특허", '한화생명 보험 계약 자동화 솔루션 특허 취득'], ['[비즈&] 롯데홈쇼핑 물류센터에 업계 최초 자동화 시스템 도입 外 경제계 소식 알아보는 비즈& 시간입니다. 오늘은 어떤 소식들이 있는지 살펴...', '자동화는 반복적인 네트워킹 작업에서 큰 차이를 만들어낼 수 있다. 파이썬 스크립트와 오픈소스 툴을 사용해 엔터프라이즈 스위치 업그레이드를...', '(창원=국제뉴스) 김선환 기자 = 용접 절단 최대 수요지인 창원에서 개최된 34년 역사의 용접·절단 기술 전문 전시회인 창원국제용접 및 절단자동화...', '코닉오토메이션이 LG화학과 양극재 검사 자동화 시스템 공급 계약을 체결했다고 24일 공시했다. 에코프로그룹 포스코케미칼에 이어 LG화학에 검사...', 'IPO 간담회 개최. 디티앤씨알오 “자동화 CRO 플랫폼으로 성장할 것”. “최근 3년간 매출과 신규 수주가 늘었고 2020년에는 흑자전환에 성공했습니다.', '삼광의료재단(이사장 황태국)은 24일 최첨단 자동화 검사 시스템을 도입한 중부센터 개원 기념식을 진행했다. 삼광의료재단 중부센터는 대전에...', '한화생명이 보험 신계약 과정을 로봇 기술로 자동화하며 법인대리점(GA) 시장에서의 영업 경쟁력 강화에 나섰다.25일 한화생명은 보험설계 및 청약...', "[엔지경제신문=나유라 기자] 한화생명은 보험설계 및 청약 업무 프로세스 자동화 기술인 '청약자동화 솔루션'에 대한 특허를 특허청으로부터 취득...", '한화생명은 25일 보험설계와 계약 업무 프로세스를 자동화하는 기술인 "청약자동화 솔루션"이 특허청으로부터 "BM(Business Method)특허&quo...'], ['https://www.yonhapnewstv.co.kr/news/MYH20221025012900038', 'https://www.sedaily.com/NewsView/26CHK5V7NA', 'https://www.yna.co.kr/view/AKR20221025034300002', 'https://m.khan.co.kr/economy/finance/article/202210251130001', 'https://www.itworld.co.kr/news/260974', 'https://www.gukjenews.com/news/articleView.html?idxno=2577997', 'https://www.etnews.com/20221024000118', 'https://www.hankyung.com/it/article/202210251982i', 'https://sports.chosun.com/news/news.htm?id=202210260100169210010824&ServiceDate=20221025', 'http://www.thebigdata.co.kr/view.php?ud=202210251014097792d2db879fd_23', 'https://www.ekn.kr/web/view.php?key=20221025010003873', 'https://news.mt.co.kr/mtview.php?no=2022102510404686281'] 
